book1,book2,weight
1387,1526,752
36403,65670,5
18517,49057,40
18517,110940,3
18517,111312,6
49057,110940,2
49057,111312,4
110940,111312,3
1387,14124,57
1387,36403,6
1387,78262,13
1387,109549,10
14124,36403,5
14124,78262,5
14124,109549,4
36403,78262,14
36403,109549,7
78262,109549,4
1387,118216,32
1387,5781,34
1387,5785,37
1387,5786,53
5781,5785,81
5781,5786,85
5785,5786,94
18370,26999,6
18370,421078,23
26999,421078,6
2609,88772,120
22208,65670,2
88800,682987,2
1387,7333,109
21696,111413,12
25970,78262,7
25970,107021,53
78262,107021,7
1387,16234,47
1387,93529,22
16234,93529,47
27579,125910,24
2609,7333,8
7333,88772,6
3946,3948,41
3946,51231,11
3948,51231,23
14124,16234,21
14124,93450,11
16234,93450,32
2609,3948,20
2609,5506,39
2609,51703,74
3948,5506,12
3948,51703,21
5506,51703,43
1526,26812,18
1526,27579,80
1526,14124,85
26999,198699,5
1526,65670,14
2609,88800,29
2609,111474,76
51703,88800,42
51703,111474,152
88800,111474,49
2609,95399,58
2609,125910,27
3948,88772,15
3948,95399,16
3948,111474,25
3948,125910,7
51703,88772,51
51703,95399,70
51703,125910,17
88772,95399,55
88772,111474,62
88772,125910,22
95399,111474,73
95399,125910,11
111474,125910,21
1387,93450,10
1387,93573,16
1387,95399,21
1387,111413,19
1387,592390,6
5786,16234,27
5786,78262,3
5786,93450,11
5786,93573,15
5786,95399,28
5786,111413,25
5786,592390,5
16234,78262,7
16234,93573,45
16234,95399,30
16234,111413,30
16234,592390,3
78262,93450,4
78262,93573,5
78262,95399,15
78262,111413,12
78262,592390,3
93450,93573,32
93450,95399,10
93450,111413,12
93450,592390,2
93573,95399,12
93573,111413,10
93573,592390,3
95399,111413,118
95399,592390,3
111413,592390,3
1526,5665,32
1526,5666,27
1526,5667,44
1526,5668,51
1526,90045,7
5665,5666,65
5665,5667,75
5665,5668,88
5665,90045,3
5666,5667,74
5666,5668,86
5666,90045,3
5667,5668,113
5667,90045,4
5668,90045,3
1526,16234,44
1526,93529,18
3948,16234,18
3948,27579,26
16234,27579,47
27579,111474,137
1387,26886,51
1387,64514,4
